repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
6,4,0.6924882629107981,0.6885623902485872,0.6770872535109097,0.927719466601031,0.8814494652258071,1704.0,0.5404663923182441,0.7533460803059273,0.6293929712460063,523.0,0.7355126300148589,0.9939759036144579,0.8454312553373186,498.0,0.9635761589403974,0.4260614934114202,0.5908629441624366,683.0
7,0,0.6725774225774226,0.4952645062361922,0.7483144507857337,0.9144380846233182,0.64335552086362,4004.0,0.12526315789473685,1.0,0.2226379794200187,119.0,0.32489451476793246,0.9094488188976378,0.47875647668393784,254.0,1.0,0.6452767832553016,0.78439906260462,3631.0
7,1,0.8644228940863282,0.6580990680890602,0.8896325628676134,0.9592317905613864,0.7022530084377786,5259.0,0.29638009049773756,0.916083916083916,0.4478632478632479,286.0,0.9863304265849635,0.8766233766233766,0.9282466452256848,4774.0,0.75,0.49748743718592964,0.5981873111782477,199.0
7,2,0.2148846960167715,0.23070860937873805,0.1929370046095678,0.5992520243826435,0.41772743263014794,1908.0,0.42201834862385323,0.10697674418604651,0.17068645640074212,1290.0,0.1681329423264907,0.34468937875751504,0.22601839684625494,499.0,0.17921146953405018,0.8403361344537815,0.29542097488921715,119.0
7,3,0.7372881355932204,0.729089253442183,0.7257101471849198,0.9319753652156176,0.8641568735126901,944.0,0.6913793103448276,0.9031531531531531,0.783203125,444.0,0.73125,0.8068965517241379,0.7672131147540984,145.0,0.8725490196078431,0.5014084507042254,0.6368515205724508,355.0
7,4,0.6924882629107981,0.6885623902485872,0.6770872535109097,0.927719466601031,0.8814494652258071,1704.0,0.5404663923182441,0.7533460803059273,0.6293929712460063,523.0,0.7355126300148589,0.9939759036144579,0.8454312553373186,498.0,0.9635761589403974,0.4260614934114202,0.5908629441624366,683.0
8,0,0.6725774225774226,0.4952645062361922,0.7483144507857337,0.9144380846233182,0.64335552086362,4004.0,0.12526315789473685,1.0,0.2226379794200187,119.0,0.32489451476793246,0.9094488188976378,0.47875647668393784,254.0,1.0,0.6452767832553016,0.78439906260462,3631.0
8,1,0.8644228940863282,0.6580990680890602,0.8896325628676134,0.9592317905613864,0.7022530084377786,5259.0,0.29638009049773756,0.916083916083916,0.4478632478632479,286.0,0.9863304265849635,0.8766233766233766,0.9282466452256848,4774.0,0.75,0.49748743718592964,0.5981873111782477,199.0
8,2,0.2148846960167715,0.23070860937873805,0.1929370046095678,0.5992520243826435,0.41772743263014794,1908.0,0.42201834862385323,0.10697674418604651,0.17068645640074212,1290.0,0.1681329423264907,0.34468937875751504,0.22601839684625494,499.0,0.17921146953405018,0.8403361344537815,0.29542097488921715,119.0
8,3,0.7372881355932204,0.729089253442183,0.7257101471849198,0.9319753652156176,0.8641568735126901,944.0,0.6913793103448276,0.9031531531531531,0.783203125,444.0,0.73125,0.8068965517241379,0.7672131147540984,145.0,0.8725490196078431,0.5014084507042254,0.6368515205724508,355.0
8,4,0.6924882629107981,0.6885623902485872,0.6770872535109097,0.927719466601031,0.8814494652258071,1704.0,0.5404663923182441,0.7533460803059273,0.6293929712460063,523.0,0.7355126300148589,0.9939759036144579,0.8454312553373186,498.0,0.9635761589403974,0.4260614934114202,0.5908629441624366,683.0
9,0,0.6725774225774226,0.4952645062361922,0.7483144507857337,0.9144380846233182,0.64335552086362,4004.0,0.12526315789473685,1.0,0.2226379794200187,119.0,0.32489451476793246,0.9094488188976378,0.47875647668393784,254.0,1.0,0.6452767832553016,0.78439906260462,3631.0
9,1,0.8644228940863282,0.6580990680890602,0.8896325628676134,0.9592317905613864,0.7022530084377786,5259.0,0.29638009049773756,0.916083916083916,0.4478632478632479,286.0,0.9863304265849635,0.8766233766233766,0.9282466452256848,4774.0,0.75,0.49748743718592964,0.5981873111782477,199.0
9,2,0.2148846960167715,0.23070860937873805,0.1929370046095678,0.5992520243826435,0.41772743263014794,1908.0,0.42201834862385323,0.10697674418604651,0.17068645640074212,1290.0,0.1681329423264907,0.34468937875751504,0.22601839684625494,499.0,0.17921146953405018,0.8403361344537815,0.29542097488921715,119.0
9,3,0.7372881355932204,0.729089253442183,0.7257101471849198,0.9319753652156176,0.8641568735126901,944.0,0.6913793103448276,0.9031531531531531,0.783203125,444.0,0.73125,0.8068965517241379,0.7672131147540984,145.0,0.8725490196078431,0.5014084507042254,0.6368515205724508,355.0
9,4,0.6924882629107981,0.6885623902485872,0.6770872535109097,0.927719466601031,0.8814494652258071,1704.0,0.5404663923182441,0.7533460803059273,0.6293929712460063,523.0,0.7355126300148589,0.9939759036144579,0.8454312553373186,498.0,0.9635761589403974,0.4260614934114202,0.5908629441624366,683.0
