repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
4,0,0.7142184557438794,0.4118497980128056,0.8060713277302308,0.9338042150519144,0.6246270134625186,2124.0,0.05,1.0,0.09523809523809523,20.0,0.19217081850533807,0.8181818181818182,0.3112391930835735,66.0,1.0,0.7080471050049068,0.829072105716748,2038.0
4,1,0.8759305210918115,0.6814821384057269,0.8963301515893884,0.9662865695743069,0.7934433720520536,806.0,0.2376237623762376,1.0,0.384,24.0,0.9672386895475819,0.9212481426448736,0.943683409436834,673.0,0.96875,0.5688073394495413,0.7167630057803468,109.0
4,2,0.282,0.3167698075271745,0.22513930743292776,0.7266061624983656,0.5902318062578455,500.0,0.48484848484848486,0.049079754601226995,0.08913649025069638,326.0,0.11764705882352941,0.5217391304347826,0.192,69.0,0.5527950310559007,0.8476190476190476,0.6691729323308271,105.0
4,3,0.6341463414634146,0.6503055092662727,0.6675907514804799,0.8843727893227417,0.8506435153272943,287.0,0.29838709677419356,1.0,0.45962732919254656,37.0,1.0,0.75,0.8571428571428571,72.0,0.8348623853211009,0.5112359550561798,0.6341463414634146,178.0
4,4,0.706199460916442,0.717561917352597,0.7022872256778516,0.9378546037575163,0.886269158578808,371.0,0.5921787709497207,0.7910447761194029,0.6773162939297125,134.0,0.6470588235294118,1.0,0.7857142857142857,66.0,1.0,0.5263157894736842,0.6896551724137931,171.0
5,0,0.7142184557438794,0.4118497980128056,0.8060713277302308,0.9338042150519144,0.6246270134625186,2124.0,0.05,1.0,0.09523809523809523,20.0,0.19217081850533807,0.8181818181818182,0.3112391930835735,66.0,1.0,0.7080471050049068,0.829072105716748,2038.0
5,1,0.8759305210918115,0.6814821384057269,0.8963301515893884,0.9662865695743069,0.7934433720520536,806.0,0.2376237623762376,1.0,0.384,24.0,0.9672386895475819,0.9212481426448736,0.943683409436834,673.0,0.96875,0.5688073394495413,0.7167630057803468,109.0
5,2,0.282,0.3167698075271745,0.22513930743292776,0.7266061624983656,0.5902318062578455,500.0,0.48484848484848486,0.049079754601226995,0.08913649025069638,326.0,0.11764705882352941,0.5217391304347826,0.192,69.0,0.5527950310559007,0.8476190476190476,0.6691729323308271,105.0
5,3,0.6341463414634146,0.6503055092662727,0.6675907514804799,0.8843727893227417,0.8506435153272943,287.0,0.29838709677419356,1.0,0.45962732919254656,37.0,1.0,0.75,0.8571428571428571,72.0,0.8348623853211009,0.5112359550561798,0.6341463414634146,178.0
5,4,0.706199460916442,0.717561917352597,0.7022872256778516,0.9378546037575163,0.886269158578808,371.0,0.5921787709497207,0.7910447761194029,0.6773162939297125,134.0,0.6470588235294118,1.0,0.7857142857142857,66.0,1.0,0.5263157894736842,0.6896551724137931,171.0
6,0,0.7142184557438794,0.4118497980128056,0.8060713277302308,0.9338042150519144,0.6246270134625186,2124.0,0.05,1.0,0.09523809523809523,20.0,0.19217081850533807,0.8181818181818182,0.3112391930835735,66.0,1.0,0.7080471050049068,0.829072105716748,2038.0
6,1,0.8759305210918115,0.6814821384057269,0.8963301515893884,0.9662865695743069,0.7934433720520536,806.0,0.2376237623762376,1.0,0.384,24.0,0.9672386895475819,0.9212481426448736,0.943683409436834,673.0,0.96875,0.5688073394495413,0.7167630057803468,109.0
6,2,0.282,0.3167698075271745,0.22513930743292776,0.7266061624983656,0.5902318062578455,500.0,0.48484848484848486,0.049079754601226995,0.08913649025069638,326.0,0.11764705882352941,0.5217391304347826,0.192,69.0,0.5527950310559007,0.8476190476190476,0.6691729323308271,105.0
6,3,0.6341463414634146,0.6503055092662727,0.6675907514804799,0.8843727893227417,0.8506435153272943,287.0,0.29838709677419356,1.0,0.45962732919254656,37.0,1.0,0.75,0.8571428571428571,72.0,0.8348623853211009,0.5112359550561798,0.6341463414634146,178.0
6,4,0.706199460916442,0.717561917352597,0.7022872256778516,0.9378546037575163,0.886269158578808,371.0,0.5921787709497207,0.7910447761194029,0.6773162939297125,134.0,0.6470588235294118,1.0,0.7857142857142857,66.0,1.0,0.5263157894736842,0.6896551724137931,171.0
7,0,0.7142184557438794,0.4118497980128056,0.8060713277302308,0.9338042150519144,0.6246270134625186,2124.0,0.05,1.0,0.09523809523809523,20.0,0.19217081850533807,0.8181818181818182,0.3112391930835735,66.0,1.0,0.7080471050049068,0.829072105716748,2038.0
7,1,0.8759305210918115,0.6814821384057269,0.8963301515893884,0.9662865695743069,0.7934433720520536,806.0,0.2376237623762376,1.0,0.384,24.0,0.9672386895475819,0.9212481426448736,0.943683409436834,673.0,0.96875,0.5688073394495413,0.7167630057803468,109.0
7,2,0.282,0.3167698075271745,0.22513930743292776,0.7266061624983656,0.5902318062578455,500.0,0.48484848484848486,0.049079754601226995,0.08913649025069638,326.0,0.11764705882352941,0.5217391304347826,0.192,69.0,0.5527950310559007,0.8476190476190476,0.6691729323308271,105.0
7,3,0.6341463414634146,0.6503055092662727,0.6675907514804799,0.8843727893227417,0.8506435153272943,287.0,0.29838709677419356,1.0,0.45962732919254656,37.0,1.0,0.75,0.8571428571428571,72.0,0.8348623853211009,0.5112359550561798,0.6341463414634146,178.0
7,4,0.706199460916442,0.717561917352597,0.7022872256778516,0.9378546037575163,0.886269158578808,371.0,0.5921787709497207,0.7910447761194029,0.6773162939297125,134.0,0.6470588235294118,1.0,0.7857142857142857,66.0,1.0,0.5263157894736842,0.6896551724137931,171.0
8,0,0.7142184557438794,0.4118497980128056,0.8060713277302308,0.9338042150519144,0.6246270134625186,2124.0,0.05,1.0,0.09523809523809523,20.0,0.19217081850533807,0.8181818181818182,0.3112391930835735,66.0,1.0,0.7080471050049068,0.829072105716748,2038.0
8,1,0.8759305210918115,0.6814821384057269,0.8963301515893884,0.9662865695743069,0.7934433720520536,806.0,0.2376237623762376,1.0,0.384,24.0,0.9672386895475819,0.9212481426448736,0.943683409436834,673.0,0.96875,0.5688073394495413,0.7167630057803468,109.0
8,2,0.282,0.3167698075271745,0.22513930743292776,0.7266061624983656,0.5902318062578455,500.0,0.48484848484848486,0.049079754601226995,0.08913649025069638,326.0,0.11764705882352941,0.5217391304347826,0.192,69.0,0.5527950310559007,0.8476190476190476,0.6691729323308271,105.0
8,3,0.6341463414634146,0.6503055092662727,0.6675907514804799,0.8843727893227417,0.8506435153272943,287.0,0.29838709677419356,1.0,0.45962732919254656,37.0,1.0,0.75,0.8571428571428571,72.0,0.8348623853211009,0.5112359550561798,0.6341463414634146,178.0
8,4,0.706199460916442,0.717561917352597,0.7022872256778516,0.9378546037575163,0.886269158578808,371.0,0.5921787709497207,0.7910447761194029,0.6773162939297125,134.0,0.6470588235294118,1.0,0.7857142857142857,66.0,1.0,0.5263157894736842,0.6896551724137931,171.0
9,0,0.7142184557438794,0.4118497980128056,0.8060713277302308,0.9338042150519144,0.6246270134625186,2124.0,0.05,1.0,0.09523809523809523,20.0,0.19217081850533807,0.8181818181818182,0.3112391930835735,66.0,1.0,0.7080471050049068,0.829072105716748,2038.0
9,1,0.8759305210918115,0.6814821384057269,0.8963301515893884,0.9662865695743069,0.7934433720520536,806.0,0.2376237623762376,1.0,0.384,24.0,0.9672386895475819,0.9212481426448736,0.943683409436834,673.0,0.96875,0.5688073394495413,0.7167630057803468,109.0
9,2,0.282,0.3167698075271745,0.22513930743292776,0.7266061624983656,0.5902318062578455,500.0,0.48484848484848486,0.049079754601226995,0.08913649025069638,326.0,0.11764705882352941,0.5217391304347826,0.192,69.0,0.5527950310559007,0.8476190476190476,0.6691729323308271,105.0
9,3,0.6341463414634146,0.6503055092662727,0.6675907514804799,0.8843727893227417,0.8506435153272943,287.0,0.29838709677419356,1.0,0.45962732919254656,37.0,1.0,0.75,0.8571428571428571,72.0,0.8348623853211009,0.5112359550561798,0.6341463414634146,178.0
9,4,0.706199460916442,0.717561917352597,0.7022872256778516,0.9378546037575163,0.886269158578808,371.0,0.5921787709497207,0.7910447761194029,0.6773162939297125,134.0,0.6470588235294118,1.0,0.7857142857142857,66.0,1.0,0.5263157894736842,0.6896551724137931,171.0
