repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.9851132686084142,0.9602925809822361,0.9843458578644384,1.0,1.0,1545.0,1.0,1.0,1.0,6.0,1.0,0.8,0.8888888888888888,115.0,0.9841050449205252,1.0,0.9919888540578196,1424.0
0,1,1.0,1.0,1.0,1.0,1.0,667.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,124.0,1.0,1.0,1.0,471.0
0,2,0.9914285714285714,0.9929567115925599,0.991464065283501,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9872340425531915,0.9935760171306209,470.0,0.9710144927536232,1.0,0.9852941176470589,201.0
0,3,0.9968992248062015,0.9958750463477939,0.996905045226824,1.0,1.0,645.0,1.0,1.0,1.0,289.0,0.984,1.0,0.9919354838709677,123.0,1.0,0.9914163090128756,0.9956896551724138,233.0
0,4,0.9642184557438794,0.958447709779859,0.9631957957514148,1.0,1.0,531.0,1.0,1.0,1.0,145.0,1.0,0.8333333333333334,0.9090909090909091,114.0,0.9347079037800687,1.0,0.9662522202486679,272.0
1,0,0.9851132686084142,0.9602925809822361,0.9843458578644384,1.0,1.0,1545.0,1.0,1.0,1.0,6.0,1.0,0.8,0.8888888888888888,115.0,0.9841050449205252,1.0,0.9919888540578196,1424.0
1,1,1.0,1.0,1.0,1.0,1.0,667.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,124.0,1.0,1.0,1.0,471.0
1,2,0.9914285714285714,0.9929567115925599,0.991464065283501,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9872340425531915,0.9935760171306209,470.0,0.9710144927536232,1.0,0.9852941176470589,201.0
1,3,0.9968992248062015,0.9958750463477939,0.996905045226824,1.0,1.0,645.0,1.0,1.0,1.0,289.0,0.984,1.0,0.9919354838709677,123.0,1.0,0.9914163090128756,0.9956896551724138,233.0
1,4,0.9642184557438794,0.958447709779859,0.9631957957514148,1.0,1.0,531.0,1.0,1.0,1.0,145.0,1.0,0.8333333333333334,0.9090909090909091,114.0,0.9347079037800687,1.0,0.9662522202486679,272.0
2,0,0.9851132686084142,0.9602925809822361,0.9843458578644384,1.0,1.0,1545.0,1.0,1.0,1.0,6.0,1.0,0.8,0.8888888888888888,115.0,0.9841050449205252,1.0,0.9919888540578196,1424.0
2,1,1.0,1.0,1.0,1.0,1.0,667.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,124.0,1.0,1.0,1.0,471.0
2,2,0.9914285714285714,0.9929567115925599,0.991464065283501,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9872340425531915,0.9935760171306209,470.0,0.9710144927536232,1.0,0.9852941176470589,201.0
2,3,0.9968992248062015,0.9958750463477939,0.996905045226824,1.0,1.0,645.0,1.0,1.0,1.0,289.0,0.984,1.0,0.9919354838709677,123.0,1.0,0.9914163090128756,0.9956896551724138,233.0
2,4,0.9642184557438794,0.958447709779859,0.9631957957514148,1.0,1.0,531.0,1.0,1.0,1.0,145.0,1.0,0.8333333333333334,0.9090909090909091,114.0,0.9347079037800687,1.0,0.9662522202486679,272.0
3,0,0.9851132686084142,0.9602925809822361,0.9843458578644384,1.0,1.0,1545.0,1.0,1.0,1.0,6.0,1.0,0.8,0.8888888888888888,115.0,0.9841050449205252,1.0,0.9919888540578196,1424.0
3,1,1.0,1.0,1.0,1.0,1.0,667.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,124.0,1.0,1.0,1.0,471.0
3,2,0.9914285714285714,0.9929567115925599,0.991464065283501,1.0,1.0,700.0,1.0,1.0,1.0,29.0,1.0,0.9872340425531915,0.9935760171306209,470.0,0.9710144927536232,1.0,0.9852941176470589,201.0
3,3,0.9968992248062015,0.9958750463477939,0.996905045226824,1.0,1.0,645.0,1.0,1.0,1.0,289.0,0.984,1.0,0.9919354838709677,123.0,1.0,0.9914163090128756,0.9956896551724138,233.0
3,4,0.9642184557438794,0.958447709779859,0.9631957957514148,1.0,1.0,531.0,1.0,1.0,1.0,145.0,1.0,0.8333333333333334,0.9090909090909091,114.0,0.9347079037800687,1.0,0.9662522202486679,272.0
