repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,1.0,1.0,1.0,1.0,1.0,809.0,1.0,1.0,1.0,86.0,1.0,1.0,1.0,203.0,1.0,1.0,1.0,520.0
0,1,1.0,1.0,1.0,1.0,1.0,975.0,1.0,1.0,1.0,254.0,1.0,1.0,1.0,202.0,1.0,1.0,1.0,519.0
0,2,0.9693251533742331,0.9674244053949833,0.9687789412847845,0.9994104238690493,0.9978744181791525,815.0,1.0,0.9777777777777777,0.9887640449438202,90.0,0.989010989010989,0.8866995073891626,0.935064935064935,203.0,0.9577981651376147,1.0,0.9784442361761949,522.0
0,3,1.0,1.0,1.0,1.0,1.0,809.0,1.0,1.0,1.0,87.0,1.0,1.0,1.0,202.0,1.0,1.0,1.0,520.0
0,4,0.9864029666254636,0.9706808697055637,0.9866222948528234,1.0,1.0,809.0,0.8865979381443299,1.0,0.9398907103825137,86.0,1.0,0.9458128078817734,0.9721518987341772,203.0,1.0,1.0,1.0,520.0
1,0,0.9975278121137207,0.9954830053667263,0.9975278121137207,0.9999866915091827,0.9999926879204445,809.0,0.9883720930232558,0.9883720930232558,0.9883720930232558,86.0,1.0,1.0,1.0,203.0,0.9980769230769231,0.9980769230769231,0.9980769230769231,520.0
1,1,1.0,1.0,1.0,1.0,1.0,975.0,1.0,1.0,1.0,254.0,1.0,1.0,1.0,202.0,1.0,1.0,1.0,519.0
1,2,1.0,1.0,1.0,1.0,1.0,809.0,1.0,1.0,1.0,87.0,1.0,1.0,1.0,202.0,1.0,1.0,1.0,520.0
1,3,0.997539975399754,0.9945345954473743,0.9975318667993983,0.9999059561128526,0.9992934336925959,813.0,1.0,0.9772727272727273,0.9885057471264368,88.0,0.9902439024390244,1.0,0.9950980392156863,203.0,1.0,1.0,1.0,522.0
1,4,1.0,1.0,1.0,1.0,1.0,811.0,1.0,1.0,1.0,88.0,1.0,1.0,1.0,203.0,1.0,1.0,1.0,520.0
2,0,1.0,1.0,1.0,1.0,1.0,809.0,1.0,1.0,1.0,86.0,1.0,1.0,1.0,203.0,1.0,1.0,1.0,520.0
