repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
2,2,0.502,0.47770246471310873,0.5287998762918482,0.7749374107294451,0.6705808878420968,500.0,0.8407643312101911,0.4049079754601227,0.546583850931677,326.0,0.13372093023255813,0.3333333333333333,0.1908713692946058,69.0,0.5614035087719298,0.9142857142857143,0.6956521739130435,105.0
2,3,0.8954703832752613,0.8699186991869919,0.8929208804283164,0.9461392315068177,0.8784236555152125,287.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,37.0,1.0,0.7083333333333334,0.8292682926829268,72.0,0.8952879581151832,0.9606741573033708,0.926829268292683,178.0
2,4,0.6873315363881402,0.7120850646714872,0.6653598868808412,0.9335371603328166,0.8948880430245955,371.0,0.5520361990950227,0.9104477611940298,0.6873239436619718,134.0,0.7951807228915663,1.0,0.8859060402684564,66.0,1.0,0.391812865497076,0.5630252100840336,171.0
3,0,0.7504708097928436,0.4518261855601044,0.8301040908868854,0.943333627293426,0.5700894299699716,2124.0,0.055710306406685235,1.0,0.10554089709762533,20.0,0.25098039215686274,0.9696969696969697,0.3987538940809969,66.0,1.0,0.7409224730127576,0.8511837655016911,2038.0
3,1,0.7952853598014888,0.6636368699526595,0.8494023313038592,0.9751103619394783,0.9283073267707603,806.0,0.14457831325301204,1.0,0.25263157894736843,24.0,0.9904580152671756,0.7711738484398217,0.8671679197994987,673.0,0.8448275862068966,0.8990825688073395,0.8711111111111111,109.0
3,2,0.502,0.47770246471310873,0.5287998762918482,0.7749374107294451,0.6705808878420968,500.0,0.8407643312101911,0.4049079754601227,0.546583850931677,326.0,0.13372093023255813,0.3333333333333333,0.1908713692946058,69.0,0.5614035087719298,0.9142857142857143,0.6956521739130435,105.0
3,3,0.8954703832752613,0.8699186991869919,0.8929208804283164,0.9461392315068177,0.8784236555152125,287.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,37.0,1.0,0.7083333333333334,0.8292682926829268,72.0,0.8952879581151832,0.9606741573033708,0.926829268292683,178.0
3,4,0.6873315363881402,0.7120850646714872,0.6653598868808412,0.9335371603328166,0.8948880430245955,371.0,0.5520361990950227,0.9104477611940298,0.6873239436619718,134.0,0.7951807228915663,1.0,0.8859060402684564,66.0,1.0,0.391812865497076,0.5630252100840336,171.0
4,0,0.7504708097928436,0.4518261855601044,0.8301040908868854,0.943333627293426,0.5700894299699716,2124.0,0.055710306406685235,1.0,0.10554089709762533,20.0,0.25098039215686274,0.9696969696969697,0.3987538940809969,66.0,1.0,0.7409224730127576,0.8511837655016911,2038.0
4,1,0.7952853598014888,0.6636368699526595,0.8494023313038592,0.9751103619394783,0.9283073267707603,806.0,0.14457831325301204,1.0,0.25263157894736843,24.0,0.9904580152671756,0.7711738484398217,0.8671679197994987,673.0,0.8448275862068966,0.8990825688073395,0.8711111111111111,109.0
4,2,0.502,0.47770246471310873,0.5287998762918482,0.7749374107294451,0.6705808878420968,500.0,0.8407643312101911,0.4049079754601227,0.546583850931677,326.0,0.13372093023255813,0.3333333333333333,0.1908713692946058,69.0,0.5614035087719298,0.9142857142857143,0.6956521739130435,105.0
4,3,0.8954703832752613,0.8699186991869919,0.8929208804283164,0.9461392315068177,0.8784236555152125,287.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,37.0,1.0,0.7083333333333334,0.8292682926829268,72.0,0.8952879581151832,0.9606741573033708,0.926829268292683,178.0
4,4,0.6873315363881402,0.7120850646714872,0.6653598868808412,0.9335371603328166,0.8948880430245955,371.0,0.5520361990950227,0.9104477611940298,0.6873239436619718,134.0,0.7951807228915663,1.0,0.8859060402684564,66.0,1.0,0.391812865497076,0.5630252100840336,171.0
5,0,0.7504708097928436,0.4518261855601044,0.8301040908868854,0.943333627293426,0.5700894299699716,2124.0,0.055710306406685235,1.0,0.10554089709762533,20.0,0.25098039215686274,0.9696969696969697,0.3987538940809969,66.0,1.0,0.7409224730127576,0.8511837655016911,2038.0
5,1,0.7952853598014888,0.6636368699526595,0.8494023313038592,0.9751103619394783,0.9283073267707603,806.0,0.14457831325301204,1.0,0.25263157894736843,24.0,0.9904580152671756,0.7711738484398217,0.8671679197994987,673.0,0.8448275862068966,0.8990825688073395,0.8711111111111111,109.0
5,2,0.502,0.47770246471310873,0.5287998762918482,0.7749374107294451,0.6705808878420968,500.0,0.8407643312101911,0.4049079754601227,0.546583850931677,326.0,0.13372093023255813,0.3333333333333333,0.1908713692946058,69.0,0.5614035087719298,0.9142857142857143,0.6956521739130435,105.0
5,3,0.8954703832752613,0.8699186991869919,0.8929208804283164,0.9461392315068177,0.8784236555152125,287.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,37.0,1.0,0.7083333333333334,0.8292682926829268,72.0,0.8952879581151832,0.9606741573033708,0.926829268292683,178.0
5,4,0.6873315363881402,0.7120850646714872,0.6653598868808412,0.9335371603328166,0.8948880430245955,371.0,0.5520361990950227,0.9104477611940298,0.6873239436619718,134.0,0.7951807228915663,1.0,0.8859060402684564,66.0,1.0,0.391812865497076,0.5630252100840336,171.0
6,0,0.7504708097928436,0.4518261855601044,0.8301040908868854,0.943333627293426,0.5700894299699716,2124.0,0.055710306406685235,1.0,0.10554089709762533,20.0,0.25098039215686274,0.9696969696969697,0.3987538940809969,66.0,1.0,0.7409224730127576,0.8511837655016911,2038.0
6,1,0.7952853598014888,0.6636368699526595,0.8494023313038592,0.9751103619394783,0.9283073267707603,806.0,0.14457831325301204,1.0,0.25263157894736843,24.0,0.9904580152671756,0.7711738484398217,0.8671679197994987,673.0,0.8448275862068966,0.8990825688073395,0.8711111111111111,109.0
6,2,0.502,0.47770246471310873,0.5287998762918482,0.7749374107294451,0.6705808878420968,500.0,0.8407643312101911,0.4049079754601227,0.546583850931677,326.0,0.13372093023255813,0.3333333333333333,0.1908713692946058,69.0,0.5614035087719298,0.9142857142857143,0.6956521739130435,105.0
6,3,0.8954703832752613,0.8699186991869919,0.8929208804283164,0.9461392315068177,0.8784236555152125,287.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,37.0,1.0,0.7083333333333334,0.8292682926829268,72.0,0.8952879581151832,0.9606741573033708,0.926829268292683,178.0
6,4,0.6873315363881402,0.7120850646714872,0.6653598868808412,0.9335371603328166,0.8948880430245955,371.0,0.5520361990950227,0.9104477611940298,0.6873239436619718,134.0,0.7951807228915663,1.0,0.8859060402684564,66.0,1.0,0.391812865497076,0.5630252100840336,171.0
7,0,0.7504708097928436,0.4518261855601044,0.8301040908868854,0.943333627293426,0.5700894299699716,2124.0,0.055710306406685235,1.0,0.10554089709762533,20.0,0.25098039215686274,0.9696969696969697,0.3987538940809969,66.0,1.0,0.7409224730127576,0.8511837655016911,2038.0
7,1,0.7952853598014888,0.6636368699526595,0.8494023313038592,0.9751103619394783,0.9283073267707603,806.0,0.14457831325301204,1.0,0.25263157894736843,24.0,0.9904580152671756,0.7711738484398217,0.8671679197994987,673.0,0.8448275862068966,0.8990825688073395,0.8711111111111111,109.0
7,2,0.502,0.47770246471310873,0.5287998762918482,0.7749374107294451,0.6705808878420968,500.0,0.8407643312101911,0.4049079754601227,0.546583850931677,326.0,0.13372093023255813,0.3333333333333333,0.1908713692946058,69.0,0.5614035087719298,0.9142857142857143,0.6956521739130435,105.0
7,3,0.8954703832752613,0.8699186991869919,0.8929208804283164,0.9461392315068177,0.8784236555152125,287.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,37.0,1.0,0.7083333333333334,0.8292682926829268,72.0,0.8952879581151832,0.9606741573033708,0.926829268292683,178.0
7,4,0.6873315363881402,0.7120850646714872,0.6653598868808412,0.9335371603328166,0.8948880430245955,371.0,0.5520361990950227,0.9104477611940298,0.6873239436619718,134.0,0.7951807228915663,1.0,0.8859060402684564,66.0,1.0,0.391812865497076,0.5630252100840336,171.0
8,0,0.7504708097928436,0.4518261855601044,0.8301040908868854,0.943333627293426,0.5700894299699716,2124.0,0.055710306406685235,1.0,0.10554089709762533,20.0,0.25098039215686274,0.9696969696969697,0.3987538940809969,66.0,1.0,0.7409224730127576,0.8511837655016911,2038.0
8,1,0.7952853598014888,0.6636368699526595,0.8494023313038592,0.9751103619394783,0.9283073267707603,806.0,0.14457831325301204,1.0,0.25263157894736843,24.0,0.9904580152671756,0.7711738484398217,0.8671679197994987,673.0,0.8448275862068966,0.8990825688073395,0.8711111111111111,109.0
8,2,0.502,0.47770246471310873,0.5287998762918482,0.7749374107294451,0.6705808878420968,500.0,0.8407643312101911,0.4049079754601227,0.546583850931677,326.0,0.13372093023255813,0.3333333333333333,0.1908713692946058,69.0,0.5614035087719298,0.9142857142857143,0.6956521739130435,105.0
8,3,0.8954703832752613,0.8699186991869919,0.8929208804283164,0.9461392315068177,0.8784236555152125,287.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,37.0,1.0,0.7083333333333334,0.8292682926829268,72.0,0.8952879581151832,0.9606741573033708,0.926829268292683,178.0
8,4,0.6873315363881402,0.7120850646714872,0.6653598868808412,0.9335371603328166,0.8948880430245955,371.0,0.5520361990950227,0.9104477611940298,0.6873239436619718,134.0,0.7951807228915663,1.0,0.8859060402684564,66.0,1.0,0.391812865497076,0.5630252100840336,171.0
9,0,0.7504708097928436,0.4518261855601044,0.8301040908868854,0.943333627293426,0.5700894299699716,2124.0,0.055710306406685235,1.0,0.10554089709762533,20.0,0.25098039215686274,0.9696969696969697,0.3987538940809969,66.0,1.0,0.7409224730127576,0.8511837655016911,2038.0
9,1,0.7952853598014888,0.6636368699526595,0.8494023313038592,0.9751103619394783,0.9283073267707603,806.0,0.14457831325301204,1.0,0.25263157894736843,24.0,0.9904580152671756,0.7711738484398217,0.8671679197994987,673.0,0.8448275862068966,0.8990825688073395,0.8711111111111111,109.0
9,2,0.502,0.47770246471310873,0.5287998762918482,0.7749374107294451,0.6705808878420968,500.0,0.8407643312101911,0.4049079754601227,0.546583850931677,326.0,0.13372093023255813,0.3333333333333333,0.1908713692946058,69.0,0.5614035087719298,0.9142857142857143,0.6956521739130435,105.0
9,3,0.8954703832752613,0.8699186991869919,0.8929208804283164,0.9461392315068177,0.8784236555152125,287.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,37.0,1.0,0.7083333333333334,0.8292682926829268,72.0,0.8952879581151832,0.9606741573033708,0.926829268292683,178.0
9,4,0.6873315363881402,0.7120850646714872,0.6653598868808412,0.9335371603328166,0.8948880430245955,371.0,0.5520361990950227,0.9104477611940298,0.6873239436619718,134.0,0.7951807228915663,1.0,0.8859060402684564,66.0,1.0,0.391812865497076,0.5630252100840336,171.0
