repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
3,2,0.4900634249471459,0.42147000115763406,0.5965701580329712,0.6709158741781938,0.5626223283367796,4730.0,0.03790523690773067,0.3220338983050847,0.0678268630075859,236.0,0.9244320815948076,0.47600859393650036,0.6284273558146865,4189.0,0.43661971830985913,0.8131147540983606,0.56815578465063,305.0
3,3,0.5138260432378079,0.5271524529635573,0.4783700442694124,0.7802802899577562,0.639044962907894,1989.0,0.6401384083044983,0.18371400198609733,0.2854938271604938,1007.0,0.8173652694610778,1.0,0.899505766062603,546.0,0.2819767441860465,0.6674311926605505,0.39645776566757496,436.0
3,4,0.6726422447388932,0.6818783935156154,0.6507021720356168,0.9273656457419417,0.8698510103354593,2566.0,0.9568965517241379,0.36846473029045645,0.5320551228280408,1205.0,0.8002392344497608,0.9911111111111112,0.885506287227002,675.0,0.48420221169036337,0.8935860058309038,0.6280737704918032,686.0
4,0,0.6162691652470187,0.3764140541652414,0.6955285354357786,0.6073330090081926,0.46782108270736655,2348.0,0.0034129692832764505,0.025,0.006006006006006006,40.0,0.25133689839572193,0.7286821705426356,0.37375745526838966,258.0,0.9625095638867636,0.6136585365853658,0.7494787012213285,2050.0
4,1,0.5187557182067704,0.5000333853359119,0.5592485856176068,0.863263833221786,0.695551645013674,2186.0,0.10686164229471316,0.5459770114942529,0.17873941674506114,174.0,0.6631439894319683,1.0,0.7974583002382843,502.0,0.9944444444444445,0.35562913907284766,0.5239024390243903,1510.0
4,2,0.4900634249471459,0.42147000115763406,0.5965701580329712,0.6709158741781938,0.5626223283367796,4730.0,0.03790523690773067,0.3220338983050847,0.0678268630075859,236.0,0.9244320815948076,0.47600859393650036,0.6284273558146865,4189.0,0.43661971830985913,0.8131147540983606,0.56815578465063,305.0
4,3,0.5138260432378079,0.5271524529635573,0.4783700442694124,0.7802802899577562,0.639044962907894,1989.0,0.6401384083044983,0.18371400198609733,0.2854938271604938,1007.0,0.8173652694610778,1.0,0.899505766062603,546.0,0.2819767441860465,0.6674311926605505,0.39645776566757496,436.0
4,4,0.6726422447388932,0.6818783935156154,0.6507021720356168,0.9273656457419417,0.8698510103354593,2566.0,0.9568965517241379,0.36846473029045645,0.5320551228280408,1205.0,0.8002392344497608,0.9911111111111112,0.885506287227002,675.0,0.48420221169036337,0.8935860058309038,0.6280737704918032,686.0
5,0,0.6162691652470187,0.3764140541652414,0.6955285354357786,0.6073330090081926,0.46782108270736655,2348.0,0.0034129692832764505,0.025,0.006006006006006006,40.0,0.25133689839572193,0.7286821705426356,0.37375745526838966,258.0,0.9625095638867636,0.6136585365853658,0.7494787012213285,2050.0
5,1,0.5187557182067704,0.5000333853359119,0.5592485856176068,0.863263833221786,0.695551645013674,2186.0,0.10686164229471316,0.5459770114942529,0.17873941674506114,174.0,0.6631439894319683,1.0,0.7974583002382843,502.0,0.9944444444444445,0.35562913907284766,0.5239024390243903,1510.0
5,2,0.4900634249471459,0.42147000115763406,0.5965701580329712,0.6709158741781938,0.5626223283367796,4730.0,0.03790523690773067,0.3220338983050847,0.0678268630075859,236.0,0.9244320815948076,0.47600859393650036,0.6284273558146865,4189.0,0.43661971830985913,0.8131147540983606,0.56815578465063,305.0
5,3,0.5138260432378079,0.5271524529635573,0.4783700442694124,0.7802802899577562,0.639044962907894,1989.0,0.6401384083044983,0.18371400198609733,0.2854938271604938,1007.0,0.8173652694610778,1.0,0.899505766062603,546.0,0.2819767441860465,0.6674311926605505,0.39645776566757496,436.0
5,4,0.6726422447388932,0.6818783935156154,0.6507021720356168,0.9273656457419417,0.8698510103354593,2566.0,0.9568965517241379,0.36846473029045645,0.5320551228280408,1205.0,0.8002392344497608,0.9911111111111112,0.885506287227002,675.0,0.48420221169036337,0.8935860058309038,0.6280737704918032,686.0
6,0,0.6162691652470187,0.3764140541652414,0.6955285354357786,0.6073330090081926,0.46782108270736655,2348.0,0.0034129692832764505,0.025,0.006006006006006006,40.0,0.25133689839572193,0.7286821705426356,0.37375745526838966,258.0,0.9625095638867636,0.6136585365853658,0.7494787012213285,2050.0
6,1,0.5187557182067704,0.5000333853359119,0.5592485856176068,0.863263833221786,0.695551645013674,2186.0,0.10686164229471316,0.5459770114942529,0.17873941674506114,174.0,0.6631439894319683,1.0,0.7974583002382843,502.0,0.9944444444444445,0.35562913907284766,0.5239024390243903,1510.0
6,2,0.4900634249471459,0.42147000115763406,0.5965701580329712,0.6709158741781938,0.5626223283367796,4730.0,0.03790523690773067,0.3220338983050847,0.0678268630075859,236.0,0.9244320815948076,0.47600859393650036,0.6284273558146865,4189.0,0.43661971830985913,0.8131147540983606,0.56815578465063,305.0
6,3,0.5138260432378079,0.5271524529635573,0.4783700442694124,0.7802802899577562,0.639044962907894,1989.0,0.6401384083044983,0.18371400198609733,0.2854938271604938,1007.0,0.8173652694610778,1.0,0.899505766062603,546.0,0.2819767441860465,0.6674311926605505,0.39645776566757496,436.0
6,4,0.6726422447388932,0.6818783935156154,0.6507021720356168,0.9273656457419417,0.8698510103354593,2566.0,0.9568965517241379,0.36846473029045645,0.5320551228280408,1205.0,0.8002392344497608,0.9911111111111112,0.885506287227002,675.0,0.48420221169036337,0.8935860058309038,0.6280737704918032,686.0
7,0,0.6162691652470187,0.3764140541652414,0.6955285354357786,0.6073330090081926,0.46782108270736655,2348.0,0.0034129692832764505,0.025,0.006006006006006006,40.0,0.25133689839572193,0.7286821705426356,0.37375745526838966,258.0,0.9625095638867636,0.6136585365853658,0.7494787012213285,2050.0
7,1,0.5187557182067704,0.5000333853359119,0.5592485856176068,0.863263833221786,0.695551645013674,2186.0,0.10686164229471316,0.5459770114942529,0.17873941674506114,174.0,0.6631439894319683,1.0,0.7974583002382843,502.0,0.9944444444444445,0.35562913907284766,0.5239024390243903,1510.0
7,2,0.4900634249471459,0.42147000115763406,0.5965701580329712,0.6709158741781938,0.5626223283367796,4730.0,0.03790523690773067,0.3220338983050847,0.0678268630075859,236.0,0.9244320815948076,0.47600859393650036,0.6284273558146865,4189.0,0.43661971830985913,0.8131147540983606,0.56815578465063,305.0
7,3,0.5138260432378079,0.5271524529635573,0.4783700442694124,0.7802802899577562,0.639044962907894,1989.0,0.6401384083044983,0.18371400198609733,0.2854938271604938,1007.0,0.8173652694610778,1.0,0.899505766062603,546.0,0.2819767441860465,0.6674311926605505,0.39645776566757496,436.0
7,4,0.6726422447388932,0.6818783935156154,0.6507021720356168,0.9273656457419417,0.8698510103354593,2566.0,0.9568965517241379,0.36846473029045645,0.5320551228280408,1205.0,0.8002392344497608,0.9911111111111112,0.885506287227002,675.0,0.48420221169036337,0.8935860058309038,0.6280737704918032,686.0
8,0,0.6162691652470187,0.3764140541652414,0.6955285354357786,0.6073330090081926,0.46782108270736655,2348.0,0.0034129692832764505,0.025,0.006006006006006006,40.0,0.25133689839572193,0.7286821705426356,0.37375745526838966,258.0,0.9625095638867636,0.6136585365853658,0.7494787012213285,2050.0
8,1,0.5187557182067704,0.5000333853359119,0.5592485856176068,0.863263833221786,0.695551645013674,2186.0,0.10686164229471316,0.5459770114942529,0.17873941674506114,174.0,0.6631439894319683,1.0,0.7974583002382843,502.0,0.9944444444444445,0.35562913907284766,0.5239024390243903,1510.0
8,2,0.4900634249471459,0.42147000115763406,0.5965701580329712,0.6709158741781938,0.5626223283367796,4730.0,0.03790523690773067,0.3220338983050847,0.0678268630075859,236.0,0.9244320815948076,0.47600859393650036,0.6284273558146865,4189.0,0.43661971830985913,0.8131147540983606,0.56815578465063,305.0
8,3,0.5138260432378079,0.5271524529635573,0.4783700442694124,0.7802802899577562,0.639044962907894,1989.0,0.6401384083044983,0.18371400198609733,0.2854938271604938,1007.0,0.8173652694610778,1.0,0.899505766062603,546.0,0.2819767441860465,0.6674311926605505,0.39645776566757496,436.0
8,4,0.6726422447388932,0.6818783935156154,0.6507021720356168,0.9273656457419417,0.8698510103354593,2566.0,0.9568965517241379,0.36846473029045645,0.5320551228280408,1205.0,0.8002392344497608,0.9911111111111112,0.885506287227002,675.0,0.48420221169036337,0.8935860058309038,0.6280737704918032,686.0
9,0,0.6162691652470187,0.3764140541652414,0.6955285354357786,0.6073330090081926,0.46782108270736655,2348.0,0.0034129692832764505,0.025,0.006006006006006006,40.0,0.25133689839572193,0.7286821705426356,0.37375745526838966,258.0,0.9625095638867636,0.6136585365853658,0.7494787012213285,2050.0
9,1,0.5187557182067704,0.5000333853359119,0.5592485856176068,0.863263833221786,0.695551645013674,2186.0,0.10686164229471316,0.5459770114942529,0.17873941674506114,174.0,0.6631439894319683,1.0,0.7974583002382843,502.0,0.9944444444444445,0.35562913907284766,0.5239024390243903,1510.0
9,2,0.4900634249471459,0.42147000115763406,0.5965701580329712,0.6709158741781938,0.5626223283367796,4730.0,0.03790523690773067,0.3220338983050847,0.0678268630075859,236.0,0.9244320815948076,0.47600859393650036,0.6284273558146865,4189.0,0.43661971830985913,0.8131147540983606,0.56815578465063,305.0
9,3,0.5138260432378079,0.5271524529635573,0.4783700442694124,0.7802802899577562,0.639044962907894,1989.0,0.6401384083044983,0.18371400198609733,0.2854938271604938,1007.0,0.8173652694610778,1.0,0.899505766062603,546.0,0.2819767441860465,0.6674311926605505,0.39645776566757496,436.0
9,4,0.6726422447388932,0.6818783935156154,0.6507021720356168,0.9273656457419417,0.8698510103354593,2566.0,0.9568965517241379,0.36846473029045645,0.5320551228280408,1205.0,0.8002392344497608,0.9911111111111112,0.885506287227002,675.0,0.48420221169036337,0.8935860058309038,0.6280737704918032,686.0
